angle,Nl value,match,itr
89.138,-0.078,1.0,233.0
89.166,-0.141,1.0,272.0
89.206,-0.089,1.0,169.0
89.298,-0.131,1.0,290.0
89.334,-0.114,1.0,273.0
89.367,-0.069,1.0,170.0
89.403,-0.051,1.0,180.0
89.455,-0.085,1.0,265.0
89.463,-0.098,1.0,282.0
89.485,-0.071,1.0,156.0
89.488,-0.089,1.0,274.0
89.52,-0.051,1.0,171.0
89.541,-0.062,1.0,148.0
89.546,-0.085,1.0,291.0
89.621,-0.066,1.0,275.0
89.631,-0.036,1.0,237.0
89.642,-0.042,1.0,247.0
89.667,-0.035,1.0,172.0
89.732,-0.047,1.0,276.0
89.743,-0.048,1.0,292.0
89.788,-0.019,1.0,179.0
89.804,-0.027,1.0,149.0
89.814,-0.019,1.0,173.0
89.823,-0.033,1.0,299.0
89.824,-0.031,1.0,277.0
89.855,-0.02,1.0,155.0
89.856,-0.022,1.0,264.0
89.863,-0.025,1.0,281.0
89.878,-0.023,1.0,293.0
89.901,-0.018,1.0,278.0
89.914,-0.012,1.0,150.0
89.945,-0.008,1.0,151.0
89.956,-0.008,1.0,294.0
89.958,-0.006,1.0,152.0
89.964,-0.006,1.0,279.0
89.967,-0.003,1.0,174.0
89.979,-0.003,1.0,153.0
89.989,-0.002,1.0,295.0
89.998,-0.0,1.0,296.0
90.0,-0.0,1.0,297.0
90.001,0.0,1.0,298.0
90.005,0.001,1.0,154.0
90.013,0.002,1.0,280.0
90.04,0.003,1.0,221.0
90.056,0.005,1.0,178.0
90.109,0.011,1.0,175.0
90.113,0.013,1.0,248.0
90.118,0.011,1.0,234.0
90.16,0.015,1.0,177.0
90.181,0.017,1.0,176.0
90.214,0.033,1.0,263.0
90.291,0.028,1.0,236.0
90.313,0.038,1.0,249.0
90.317,0.039,1.0,250.0
90.355,0.045,1.0,251.0
90.476,0.071,1.0,262.0
90.477,0.061,1.0,252.0
90.545,0.051,1.0,235.0
90.643,0.084,1.0,253.0
90.681,0.101,1.0,261.0
90.693,0.027,1.0,207.0
90.788,0.105,1.0,254.0
90.829,0.121,1.0,260.0
