x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-0.53635678916341,-0.1389023616476264,4.971007874063642,-0.9955434502239194,8.561914767024164e-05,-0.0007888510318193418,-0.09430063149134049,-0.056717163183621244,0.0005715774807782078,-0.0002817909216240103,3.265838195432025e-05,-0.001658619203226408,0.00672099140501814,41348,520000000,3.59,0,2,4,1.698798906553713,0.3985120698880705,4.932322291836387
0.0,0.0,5.0,-0.5484002486268597,-0.14081073272013292,4.970957526695957,-0.9954471353954313,4.103927111744429e-05,-0.0005617349611168709,-0.09531360554842777,-0.021889360034401884,0.0017513675584232482,-0.00014973092703407772,0.00036677857622180454,-0.0013101712625029904,0.006059289808035828,41348,835000000,3.49,0,2,4,1.7909300882234502,0.44938493727185713,4.928809788138796
0.0,0.0,5.0,-0.5509263875069819,-0.14065436857241673,4.9709298421390775,-0.9953622163550101,-2.2790383549380723e-05,-0.00039142337003722895,-0.09619721680581927,0.003723263325333586,0.002410813819229695,-5.942476171645523e-05,0.00027474952162265254,-0.0010286689530403237,0.005843472899869084,41349,159000000,3.41,0,2,4,1.7909300882234502,0.44938493727185713,4.928809788138796
0.0,0.0,5.0,-0.5458402968457376,-0.1387317216506295,4.970914928566762,-0.9952644160215436,-6.553982054012083e-05,-0.0002455722693499485,-0.09720430854693674,0.026083925016349326,0.0028256231927381473,-5.968156831690336e-05,2.6124154217654905e-05,-0.0007787855395235965,0.0063544316617480945,41349,535000000,3.36,0,2,4,1.6874993430212708,0.42862356376667654,4.93175400207223
0.0,0.0,5.0,-0.5351770916793505,-0.13566760395160635,4.970875406239365,-0.9951609704711899,-7.934676154399206e-05,-0.00013813553030504448,-0.09825791303251968,0.04163335539982703,0.0029706147138235895,-0.0001574507687145989,1.7892876336134123e-05,-0.0005804703789635823,0.0067570022110885475,41349,889000000,3.3,0,2,4,1.6874993430212708,0.42862356376667654,4.93175400207223
0.0,0.0,5.0,-0.5214199950857742,-0.13199529962553208,4.970813932707247,-0.9950601698778948,-8.881197745047551e-05,-6.465450212403507e-05,-0.09927359293791616,0.05207351192720548,0.002917001707562498,-0.0002315033664314276,1.2647894021000639e-05,-0.0004207146361068226,0.006831344126112526,41350,257000000,3.24,0,2,4,1.5555349223773454,0.4005107573605877,4.935368121075154
0.0,0.0,5.0,-0.5051118507382454,-0.12783438572610714,4.970734189762377,-0.9949583028568949,-9.569111209673862e-05,-1.1697105940899445e-05,-0.10028941261427415,0.059177572948757196,0.0027346025205144744,-0.0002910260133057517,8.890192315647027e-06,-0.0003029126474984878,0.0066896045154862804,41350,687000000,3.19,0,2,4,1.493257133431578,0.38696519103824834,4.936936338004155
0.0,0.0,5.0,-0.483390910938625,-0.12238963256166686,4.970619819266221,-0.9948386924585675,-0.00010153165831609166,3.279241497508408e-05,-0.10146903273071778,0.06440510197480043,0.002676275737953544,-0.0003468777162830815,5.838739403074555e-06,-0.00020562924873956945,0.006536692717418191,41351,198000000,3.14,0,2,4,1.493257133431578,0.38696519103824834,4.936936338004155
0.0,0.0,5.0,-0.46290132160716285,-0.11728180183071367,4.970504841851845,-0.9947329344394482,-0.0001051724733026297,6.0127262525482604e-05,-0.10250060714428738,0.06705474921844587,0.0025594751411895196,-0.0003852327200169933,4.018472266054118e-06,-0.00014585427123847694,0.006342125607261551,41351,541000000,3.09,0,2,4,1.3718770916236005,0.36089630885626256,4.940028263576948
-0.01697820740838507,0.1255483960083878,5.0,-0.44449532820231713,-0.11276523150666194,4.970325366838057,-0.9946236522672587,-5.8666179586263704e-05,1.597669214628794e-05,-0.10355571762854843,0.012983469292418712,-8.666515462970949e-05,-0.0010275462221488768,-0.0006834132705080265,0.0015521322893619072,0.006161842111396254,41351,876000000,3.06,0,2,4,1.3381891535035144,0.3546460573634584,4.941036675087125
-0.026955524430023026,0.18821223430714068,5.0,-0.4603274778646816,-0.11691930913941932,4.969734677942557,-0.9945178848184804,4.26279312053681e-05,-0.00033447271665632905,-0.10456607043891836,-0.10212378223832819,-0.003122487339761726,-0.002452994366543915,1.3871164483703069e-05,0.0022569990733245504,0.005562403521253145,41352,200000000,3.02,0,2,4,1.324971499905151,0.3537307798192234,4.941582500483223
-0.03792871608951609,0.2507810623072051,5.0,-0.5100290748323829,-0.12855868271581636,4.968725669878503,-0.9944221622845185,7.900637475926302e-05,-0.0006963836609072968,-0.10547071614989656,-0.1907059012562639,-0.0021777474835171307,-0.003726641139071102,1.349788352200676e-05,0.002108968442371406,0.005251099992165109,41352,532000000,2.95,0,2,4,1.324971499905151,0.3537307798192234,4.941582500483223
