x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,time
0.0,0.0,5.0,-1.472965701482755,0.8158001547897296,4.954714031921732,-0.969791794730614,4.5532759570911116e-05,0.0005162839978604546,0.24393361033440214,0.18788233761915535,-0.0016497225447328287,0.005680688239145326,-0.0001288096200369182,-0.0014155160329210048,-0.0027475109845909174,15710,763000000,1.14,0,2,1,0.6104241846795904,-0.34460550769520043,4.983318795819063,6.771087646484375e-05
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.4315082808463377,0.7930247847066918,4.9562211533996265,-0.9697099624299387,9.48286199696052e-05,0.0006546359014660577,0.2442583698125741,0.204462160087349,-0.0019396002138416413,0.006327301954429676,-0.00010358277791056025,-0.0010855664299924683,-0.0028213915811647894,15711,47000000,1.06,0,2,1,0.6139811208180026,-0.3451342177755836,4.9834694016968895,0.346116304397583
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.3759724102028141,0.7624628952982694,4.9583688560424415,-0.9696085150346202,0.00012952863656586568,0.0007950595223881625,0.24466033326848724,0.21607819445809678,-0.0013642854642697665,0.008394889783016387,0.00027049007655932655,-0.0008060274069521256,-0.002430087283755711,15711,294000000,0.99,0,2,1,0.6109235419852787,-0.34231522030991546,4.983652663428099,0.6974442005157471
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.325965153192255,0.7353645037359606,4.9612384182522264,-0.9695421006876622,0.00011807943316201498,0.0008746694770051578,0.24492312264200022,0.22057142662524143,0.0004436908748588827,0.012707072600553454,0.00020266779614530606,-0.00030056507682729716,-0.001783627101303864,15711,586000000,0.91,0,2,1,0.6109235419852787,-0.34231522030991546,4.983652663428099,1.0307464599609375
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.2673190780331869,0.7042464495215284,4.965961555846982,-0.9694908662604116,9.509490026188028e-05,0.0008827373658458523,0.24512582884987716,0.220966044143497,0.0031279091136614603,0.01877674123666318,0.00012404658633613508,0.00015309844485500435,-0.0007422783994570636,15711,852000000,0.85,0,2,1,0.5876539293536865,-0.3268257861406119,4.984810597164563,1.3868353366851807
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.1973800798230547,0.6687733319117252,4.974934626289368,-0.9694970070170104,2.9144408985395942e-05,0.0008348752467352062,0.2451017248388594,0.211673542565641,0.008655882313411896,0.031109828092371596,0.000496255222515174,0.0004886246529167693,0.0011402402947169321,15712,142000000,0.8,0,2,1,0.56887723823201,-0.3139158196822278,4.9879724713375,1.8217711448669434
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.1338100569920386,0.6392540695027346,4.988609024041035,-0.9695643543714267,-5.3351281599387564e-05,0.0007026287950019839,0.2448355901390471,0.15899873862763636,0.01467917782477963,0.0431701342466372,3.369055932012088e-05,0.00117841657356621,0.0013983290955366101,15712,500000000,0.78,0,2,1,0.5429178902494,-0.29491653065380186,4.995348373555359,2.259424924850464
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.1011629018836249,0.627033743083486,5.001858419696044,-0.9696033508052757,-0.00010888564613066741,0.000531510525968601,0.24468152310229274,0.08081194698487079,0.01950477124196269,0.05138877832524384,0.0003977090557327756,0.0022946021545067197,0.0004953552746655987,15712,870000000,0.78,0,2,1,0.5147744339775503,-0.2724555412595717,5.007604982986031,2.5999679565429688
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.091403327553258,0.6289695941572212,5.017670908687259,-0.969589106667354,-0.00024301994640476887,0.0001599516593229982,0.2447383901000707,-0.01939855258108248,0.025792251159519098,0.06152615632947871,0.0002509662635929999,0.0028190528610139154,-0.0016119597262331808,15713,147000000,0.8,0,2,1,0.5147744339775503,-0.2724555412595717,5.007604982986031,2.9389379024505615
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.1017177559987983,0.64309423527938,5.035080477415061,-0.9694960629231997,-0.0003392754538297327,-0.00011563410027009046,0.24510662067218086,-0.09719879293873396,0.03222814813589382,0.07243932788587977,0.00042824654258311057,0.0018141583836950304,-0.004755291774927173,15713,417000000,0.83,0,2,1,0.5147744339775503,-0.2724555412595717,5.007604982986031,3.2773656845092773
