x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-1.619431477431942,0.32106344485414334,4.9333580043268475,-0.9965289679958105,-0.003442765268129852,0.00039245788029695634,0.08317457117007493,-0.07392461926389007,0.18368121738531037,0.009094965444873811,-0.0015507701959904807,0.005621481341222534,-0.057046517031267285,49,17000000,33.25,33.0,2,0,0.27009653541883777,1.146435244134693,4.9616743056752295
-0.002291386001864737,0.07066929128722992,5.08972966070103,-1.6222791284073506,0.3359530727873977,4.934190352775572,-0.9964001632266434,-0.003366208850322622,0.0002223509112933926,0.08470734277479319,-0.06038860614884876,0.17302853426825243,0.009268365527954124,-0.0023385767235595267,0.003277635937593004,-0.025897940940922126,49,126000000,32.84,32.57,2,0,0.26660650454112833,1.1327464939488525,4.962157853048773
-0.002291386001864737,0.07066929128722992,5.08972966070103,-1.6240044641848193,0.3528236482889785,4.9352493895537926,-0.996368341420578,-0.0030945570819447,0.00012031188033025499,0.08509134771716992,-0.03333757972998715,0.15561454573209255,0.009735464730963568,-0.006207729575180565,0.00045201289253782306,0.0050854079290729715,49,210000000,32.34,32.48,2,0,0.2637921783087492,1.1217028918908032,4.962550104696785
-0.009160726391858276,0.14123938972314432,5.179278617806867,-1.6236733384799185,0.36478866987774444,4.936115727838788,-0.9964200993379959,-0.002847688250855741,0.0001078893974844296,0.08449180236426512,-0.011850534059036586,0.1424928037128308,0.010101353828409822,-0.006061638623577892,-0.0006979912825499923,0.021971373644191772,49,308000000,31.61,32.52,2,2,0.26050270825887084,1.107938560938174,4.963045939543351
-0.009160726391858276,0.14123938972314432,5.179278617806867,-1.620682196520402,0.38036250293422574,4.937597938847888,-0.9965732879118511,-0.0025160341549317145,0.00014545928593731475,0.08267605599138272,0.014263865870723041,0.12353437118550767,0.013278839311392973,-0.005160241835255874,-0.0014426093571273668,0.03578854229999706,49,397000000,30.96,32.66,2,2,0.2583884696116094,1.0971116483473733,4.963453693088517
-0.020593580356818464,0.21161144053362013,5.268466531635311,-1.6141424152399197,0.3968937208503438,4.940289913579661,-0.9968248901890187,-0.002112577263453593,0.0002400914299917732,0.07959659335086072,0.02751547241383242,0.09481912882091426,0.019805848482262623,-0.004450050619198009,-0.0018465593029759475,0.03922192699974403,49,508000000,29.97,32.96,2,2,0.25655616039369755,1.081404547928343,4.9641857113640215
-0.03656591995530789,0.28168726406152494,5.357113789597273,-1.6109503859623489,0.40334513126060445,4.942081944721164,-0.9969470749026494,-0.0019183472062607515,0.0002924004917615003,0.07805616112133418,0.024125557995588087,0.07845066247184279,0.023724233103306586,-0.005242223824097891,-0.0015606886336172465,0.03767138841794804,49,678000000,28.63,33.33,2,2,0.2578770464736003,1.0596284893801737,4.966106966708059
-0.03656591995530789,0.28168726406152494,5.357113789597273,-1.608035321742948,0.40964403018249523,4.944730749545506,-0.9970874532385223,-0.0016597551798947724,0.0003323222443799987,0.07624792042401035,0.01512893186258842,0.05762789618523403,0.02824967688724698,-0.004875987860941677,-0.001056894552675658,0.03529395180521533,49,746000000,28.11,33.55,2,2,0.2595309801252719,1.0529233670269924,4.967085348045053
-0.05704419012769257,0.3513696907347439,5.445041867912629,-1.6075272569407673,0.41382586345555256,4.9478657026863075,-0.9972111446125065,-0.001087556293561081,0.00023920845041511453,0.07462367627797417,-0.02093135254446819,0.02727597185051795,0.03399899044558218,-0.015739318405394442,0.0032309099196936586,0.029903151516919024,49,856000000,27.43,33.69,2,2,0.26385940551623827,1.0424498306978625,4.969125447845931
-0.0819853924892815,0.4205628929340893,5.53207369113335,-1.6110304468808847,0.4152537499624443,4.9508694677922,-0.9972958417448454,-0.00046725354480060615,-1.3795113832183763e-05,0.0734900368911302,-0.06496008266591337,-0.0008642208596793894,0.04022128306454039,-0.01548128348076716,0.006312549339781981,0.027443329781817738,49,943000000,26.81,33.71,2,2,0.27071350885336615,1.0330959819531038,4.9717533483253975
