x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.05094546568574785,0.3576352689108318,4.976586503174589,-0.44840600474926584,-0.00016668780095932816,-0.0003098086651429593,0.8938299229375627,0.0006068317336725864,0.030315926932050742,-0.0034040451787866024,-1.766349910781173e-05,-0.000576485041392516,0.011015769541700138,9717,263000000,5.29,0,2,2
0.0,0.0,5.0,-0.04782908333037781,0.35475878105176384,4.976122133328764,-0.4491062879631798,-0.00013234404637391746,-0.0002943452851546311,0.8934782806301673,0.005332815356095549,0.02996699844581634,-0.003218278994829394,-2.1188188270571118e-05,-0.0005008750861179578,0.011319223085592967,9717,438000000,5.21,0,2,2
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.04475644143924364,0.35090473733215066,4.975621221271036,-0.44992272567024116,-9.844157711042992e-05,-0.00027952180372943703,0.8930674403998153,0.010065963611537432,0.02961502614254256,-0.0030269981740780314,-2.30683644630858e-05,-0.00042473876362691954,0.011499780066515086,9717,637000000,5.13,0,2,2
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.04184209130910721,0.34595854037767265,4.975091835810186,-0.4508518097652612,-6.625272325130653e-05,-0.00026588838519168973,0.8925987735513261,0.014501465581127717,0.02910210729721475,-0.0028356954839667634,-2.3863728948469998e-05,-0.000351754511029867,0.011607933629420586,9717,810000000,5.04,0,2,2
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.0395409840020047,0.34141187665413286,4.974886977046025,-0.45165067898120836,-3.09557977968825e-05,-0.0002785242898217862,0.8921948137272327,0.014077155706971026,0.027825516326969824,0.00020132222812292719,-0.00038920644556128536,-0.0002918629007808704,0.010875915813812753,9717,957000000,4.93,0,2,2
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.03568035960292795,0.3387139545054821,4.975241897984986,-0.4523727314717734,-5.37763347139132e-05,-0.0003767892781074213,0.8918288888339021,-0.020160193220440173,0.024284114975326516,0.003549221722562059,-0.001022410674522689,0.001798451648937771,0.00693009142196388,9718,124000000,4.85,0,2,2
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.027220517969071736,0.34375132704357336,4.97640047749289,-0.45273888253684447,-0.00020932165958252542,-0.0005508997864815759,0.8916429537282048,-0.07756003610699308,0.018839199131984063,0.009085525380659983,-0.000872884038471966,0.0027204230946153984,0.002828256674547447,9718,306000000,4.78,0,2,2
-0.05704419012769257,0.3513696907347439,5.445041867912629,-0.007607367100423569,0.364628317734094,4.979990299210904,-0.45291278279664493,-0.00044866327475484786,-0.0007876307561649943,0.8915543671131093,-0.15234187888997708,0.010925606955406729,0.020919824957808128,-0.00118685143206676,0.0025748662437763414,0.001380659966798703,9718,460000000,4.75,0,2,2
-0.0819853924892815,0.4205628929340893,5.53207369113335,0.014392731758309641,0.39209795912942774,4.985554045459791,-0.45308980055581394,-0.0006046722329943529,-0.0009953027806118215,0.8914641195113564,-0.19583271468170022,0.005238670243331296,0.033219250075722496,-0.0010387913221165945,0.0019398918993829284,0.002403645021331613,9718,609000000,4.75,0,2,2
-0.1113371926862321,0.4891727127417653,5.618033988749895,0.0357217359414101,0.42024528651482074,4.992928597019876,-0.4534361486450609,-0.0006751804014364834,-0.0011423143469160607,0.8912877752731114,-0.19613023650440803,0.0021937819824986273,0.04693601171360931,-0.0010215156407866743,0.0009752532662332669,0.005617244642053265,9718,784000000,4.75,0,2,2
-0.14503805103201373,0.5571069845630509,5.702749648162685,0.05341863140289077,0.444197634694662,5.001590972566426,-0.4539264604380595,-0.0006468250267780182,-0.0011889909630819601,0.8910381228836672,-0.1743961002546205,0.0006101618159698113,0.05981300713295741,-0.0005160905175216612,-0.0009435199672225281,0.007909454507171176,9718,936000000,4.71,0,2,2
-0.1830173760811178,0.6242758516287834,5.786050063307847,0.07183510566052695,0.4697516224696788,5.0154214922982545,-0.4547501183940278,-0.0004902721967354816,-0.0012061029406023034,0.8906181194931345,-0.1429254470426556,-0.001741364690311057,0.07691900330256062,-0.0008688101445386565,-0.0014372688269759237,0.01026484014801099,9719,74000000,4.67,0,2,2
-0.22519570073643536,0.6905920754040427,5.867767478235116,0.08368703439341822,0.4869731278140117,5.029017875372707,-0.455540764763116,-0.00035618629446877655,-0.0012472175638125927,0.8902139794558988,-0.12054872919207557,-0.004374551950316068,0.09143638030665166,-0.0011508048942232563,-0.0010933342082353192,0.011678823466354515,9719,217000000,4.59,0,2,2
-0.27148488042758245,0.7559713369490784,5.947737324945997,0.09213618932054285,0.500051929496815,5.0427975050901654,-0.4562941118507373,-0.00025605459537497873,-0.0012932766096958666,0.8898280425801388,-0.10354629225009607,-0.007178982410902664,0.10423775157429757,-0.0012173658546998922,-0.0008523059136678057,0.012415230594342574,9719,384000000,4.51,0,2,2
-0.32178831283960463,0.8203325293019702,6.0257985548118125,0.09977106285825464,0.5131304855042859,5.060755007012137,-0.45719664177006325,-0.00015225527835344436,-0.0013579419923458388,0.8893645841644764,-0.08679412379040258,-0.010965384201985888,0.11913968580119787,-0.001342384541658248,-0.0007403020788387948,0.012865321878052782,9719,566000000,4.44,0,2,2
-0.3760011786149793,0.8835980399786463,6.101793962904205,0.10541465579799923,0.5246071537658633,5.08113138475547,-0.4581209583436787,-4.380300243052651e-05,-0.0014419690832220395,0.8888886917565828,-0.07260487382995082,-0.015423451606323446,0.13435192586255845,-0.0015280727552635653,-0.0006777007627079001,0.013086879062029766,9719,721000000,4.35,0,2,2
-0.4340107023969413,0.9456940227146827,6.175570504584947,0.10921300246028054,0.5348436075181769,5.103950908887014,-0.4590506358545543,6.181623339026015e-05,-0.001528338870040271,0.888408787710129,-0.06067769572026153,-0.020568203691858446,0.14968322611441515,-0.0014055708902560582,-0.0006470380242262763,0.013038758152106311,9719,912000000,4.27,0,2,2
-0.4956964335288987,1.006550657604654,6.246979603717467,0.11128588984719637,0.5441626577672752,5.129220823655632,-0.4599755492783285,0.00016641411093986703,-0.0016251470352659713,0.8879300790431403,-0.050678246860318445,-0.02616527732172714,0.16488571250215578,-0.0015359399071712687,-0.0005148551736056106,0.013007173674850492,9720,92000000,4.19,0,2,2
-0.4956964335288987,1.006550657604654,6.246979603717467,0.11176455156451089,0.5528142554974548,5.156891387852933,-0.4608935455836275,0.0002635573467702195,-0.001727424737196082,0.8874537093170859,-0.04236585866114361,-0.032038683089433334,0.1797525516072337,-0.0015625326113877236,-0.00043934892630659306,0.01283619849345996,9720,340000000,4.11,0,2,2
-0.5609305456733971,1.066102398828617,6.315877451879425,0.11053052308362755,0.562022652641275,5.190800200737402,-0.4619067067970588,0.00036518453724069394,-0.0018376831776829028,0.8869265379819731,-0.034627448646549396,-0.038917060856477226,0.19564860061603967,-0.0013762357411906123,-0.000395397461261382,0.012549356051749783,9720,543000000,4.04,0,2,2
-0.6295781545646726,1.1242882091915054,6.3821252979737295,0.1076075857347706,0.5708524988674907,5.227308464473692,-0.46287213760886636,0.0004633875798520055,-0.001933180606970788,0.8864228293033128,-0.028176515049858426,-0.04487094376683211,0.20857567422401738,-0.0010495004858057655,-0.0004485558804390166,0.011776619885495165,9720,703000000,3.98,0,2,2
-0.7014976530615584,1.1810517807396756,6.445589727654783,0.10375900117272106,0.5784879599650089,5.261642484714473,-0.4636942533585481,0.0005425290107966452,-0.002011989935021559,0.8859928312131155,-0.023555434799553417,-0.05036660203130452,0.21933451816071167,-0.0010092351431012503,-0.00032914997802890866,0.0114768977255153,9720,881000000,3.92,0,2,2
-0.7765410626225826,1.2363417407594561,6.506142932007222,0.0988062803703872,0.5860505293368825,5.297632682654159,-0.46449079460149734,0.0006203523563933916,-0.0021140943130253226,0.8855752071386478,-0.019690178021436237,-0.055948340527791504,0.2293382990272522,-0.0016462976418551989,-0.00017436500883150075,0.010999867299688049,9721,74000000,3.87,0,2,2
