x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.5526680854432697,0.36560718489131805,4.9699313414154656,0.14878226468133537,0.00045123120478888514,0.002476852205811865,-0.9888667753089103,-0.0888926817236183,0.010921521564085256,-0.001462848855323561,0.00110862750943852,-0.0017356181388095138,0.014836099489912158,13941,398000000,7.85,0,2,1
0.0,0.0,5.0,0.5684582253749043,0.36757487260071037,4.969651283927405,0.15036962686281075,0.00028803753519526494,0.0023428590035137428,-0.9886270294520614,-0.0559931481359625,0.01413069583695735,-0.0011942904167664041,0.0008947454659846699,-0.0014909782521499437,0.014463632214756217,13941,591000000,7.61,0,2,1
0.0,0.0,5.0,0.5767535951843146,0.3673100684611016,4.969451084308347,0.1516528378787768,0.00017410143872620518,0.002251886203242873,-0.9884312396219223,-0.03297664997851542,0.016022629422109295,-0.0010104477008682285,0.0007501287086597586,-0.0012663523534683918,0.014414452380151488,13941,853000000,7.39,0,2,1
0.0,0.0,5.0,0.5811049538744049,0.3658762744785884,4.969299906153925,0.15280155982631255,8.67905706998563e-05,0.0021715739165310407,-0.9882545016587414,-0.01500653284467834,0.017306450917754495,-0.0007886071928665661,0.0008104944924980373,-0.0011413855759201397,0.014637411459261784,13942,106000000,7.21,0,2,1
0.0,0.0,5.0,0.5830608367127659,0.3627387705997001,4.969146500736618,0.15425849115870555,-9.93191099865902e-06,0.002069409107395788,-0.9880283575650763,0.004381668874663032,0.01837958713629614,-0.0006304566704219986,0.0008326171496264578,-0.0010257417102366162,0.014856770121696172,13942,317000000,7.05,0,2,1
0.0,0.0,5.0,0.5816989763507914,0.35837212175936023,4.969016881540894,0.15575989037244858,-9.450723683300175e-05,0.001980390926480182,-0.987792956884854,0.020666197990298642,0.01895620066289869,-0.0005114215705207825,0.0006841174467808742,-0.0008656001625695353,0.01542945592518663,13942,533000000,6.86,0,2,1
0.0,0.0,5.0,0.5780799055046005,0.35356789490110135,4.9689187022283505,0.15714350949775668,-0.00015863379206316087,0.0019136348694682765,-0.9875739112894966,0.03306003997659511,0.019341365063843166,-0.00041853937836307064,0.0005731586099955166,-0.0007235467307964427,0.01566592854942428,13942,805000000,6.67,0,2,1
0.0,0.0,5.0,0.573252348317745,0.3487241973289169,4.968844918904493,0.15837858992915738,-0.00020670731831074385,0.001863340802440699,-0.9873766796340646,0.04232656364293406,0.01935620205411377,-0.0003454419909895855,0.0004899332225249964,-0.0006118350540873507,0.015602710300299805,13943,97000000,6.5,0,2,1
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.5645821517737404,0.3413839031125112,4.968762399394975,0.16008447258834058,-0.00026097923822231345,0.001805850222519582,-0.987101632270418,0.052567148984936994,0.019185862948930616,-0.0002571607857198525,0.0003945181674680498,-0.0004812611962279334,0.0157884212967474,13943,368000000,6.35,0,2,1
-0.002467198171341778,0.15705379539064146,5.125333233564304,0.5550827326738824,0.33418720256190615,4.968706185257186,0.161636463714318,-0.00030066576572383436,0.001764090271208703,-0.9868487478755505,0.059740301934430265,0.018829226034953468,-4.020482650442956e-05,0.00018648739228410705,-0.0003996250853788297,0.015657330004614778,13943,569000000,6.14,0,2,1
