x,y,z,phi,theta,psi,u,v,w,p,q,r,angle2,time,yaw_ref,x_ref,y_ref,z_ref
1.9985614797998987,0.00044664763490241704,4.994903144598786,0.0035516463063106746,0.006439250553661158,-3.0939233819265177,0.028776247706553265,-0.009879248123341665,-0.10119759297985509,0.06772304865545738,0.12595433138551984,0.8474093714784622,2.74,0.1,-3.1413691331178657,-2.4673990709267457e-05,0.015707937429397818,5.012566039883352
1.9962513678656184,0.0011854033863520242,4.984322661548142,0.00970653355439474,0.01714706723266569,-3.026347103382048,0.01868256598822736,-0.009991336458823318,-0.10969779274262458,0.04085742334538782,0.09679082941920536,0.5416948030909369,6.63,0.2,-3.141004907685017,-9.869571931453436e-05,0.03141571982779476,5.0251300954433376
1.9950269420520055,0.0018724986190469684,4.973330590228446,0.013383482138106995,0.02459143295778346,-2.985372204342654,0.008407563651819792,-0.009465914217577615,-0.10944072018349071,0.016402284543487283,0.061787466387369976,0.2954081199768199,8.98,0.30000000000000004,-3.140685686434928,-0.00022206445525085883,0.047123192165720036,5.037690182669935
1.9947230007524055,0.0026179029988193047,4.962465182171982,0.01466704039649564,0.028899841123556456,-2.964966013107983,0.0010036677365887526,-0.009299580115234513,-0.10747883001342438,-0.0013396668843539824,0.03034955678969065,0.118666320753154,10.15,0.4,-3.1403701927233874,-0.00039477898091977437,0.06283019941676304,5.05024431817977
1.995006717676787,0.0034780033493376442,4.951867345470711,0.014050850603257455,0.03037648875038881,-2.9595338853673048,-0.0033136384142838874,-0.009674890726141638,-0.10441830400204119,-0.014209075110005985,0.0009997079228673737,-0.008723770857410544,10.44,0.5,-3.1400429199616005,-0.0006168375916972835,0.07853658655910338,5.0627905195293135
1.9955374867939695,0.004469736215349491,4.941633920961972,0.012018387259972091,0.02920430862373559,-2.9648605028150676,-0.004530227620729008,-0.010628116999421027,-0.10036266329776514,-0.02346842775997668,-0.02542773469320108,-0.09624007455295919,10.09,0.6000000000000001,-3.1397069465171197,-0.0008882380959551739,0.09424219857704089,5.075326805527933
1.9959334523076608,0.005593404892717003,4.931850901792311,0.009037434037604186,0.02596398277845243,-2.977268800106982,-0.0016836854565578938,-0.01223120543049513,-0.09535819446723577,-0.029650493383249887,-0.041515157925870225,-0.14968694325095766,9.34,0.7000000000000001,-3.139372388795176,-0.0012089778150796704,0.10994688046252553,5.087851196550743
1.9959649025732356,0.006863494304607664,4.922597330567003,0.005593963347723383,0.021390410928530043,-2.993734066320853,0.0014894354622127352,-0.014101990039158335,-0.08963223844702428,-0.03185666182556559,-0.05174194092536776,-0.1778638768152786,8.35,0.8,-3.1390413127245274,-0.0015790535834998565,0.1256504772166874,5.100361714851215
1.9956507167314617,0.008313678508032833,4.913945897404736,0.0021190172115490803,0.015986014573083455,-3.0120923834554167,0.003946638941140599,-0.016139325610428933,-0.08326288419973688,-0.0312430636743645,-0.05702929199375521,-0.1884043143358759,7.26,0.9,-3.1387055742845136,-0.0019984617487169842,0.14135283385136627,5.112856384873481
1.9950766786217384,0.009977451202447751,4.905965182432132,-0.0011139407895779184,0.010235040603326187,-3.0308700954443113,0.005543326113415489,-0.018332525046049854,-0.07627801733418403,-0.028939432445905473,-0.057416978880279565,-0.18709727896749936,6.16,1.0,-3.1383564633671006,-0.002467198171341778,0.15705379539064146,5.125333233564304
1.9943382073385534,0.011882704205577365,4.89872018595702,-0.003961125775279213,0.004610524805260174,-3.0490964305470416,0.0063476807012871036,-0.02068794620607715,-0.06869225661777716,-0.025703881454973706,-0.053426251478070744,-0.17803523742933147,5.13,1.1,-3.1379874197566244,-0.00298525822513529,0.17275320687236137,5.137790290684638
1.9935290176223732,0.01405138789466532,4.892272539365393,-0.006360521074677646,-0.00048288259699038157,-3.0661498096687447,0.00639829951844408,-0.023207376823081754,-0.06051780458723335,-0.021929455437851242,-0.0460428330705684,-0.16404506449664344,4.2,1.2000000000000002,-3.1375942575934364,-0.0035526367970541983,0.18845091334967273,5.150225589120757
1.9927312551599705,0.01650001288305098,4.886680953899387,-0.008294008118107366,-0.0047370310430433675,-3.0816435347553717,0.005911322496198994,-0.025895356004924524,-0.05176349747968083,-0.017834570975841426,-0.03624731130323613,-0.1470004955084052,3.43,1.3,-3.13717497034613,-0.004169328287299656,0.20414675989255,5.162637165194884
1.9920038547920966,0.019240704801812496,4.882001952938541,-0.009762237729513385,-0.00793996798879165,-3.0953502658074896,0.005114680637164291,-0.02874983056301848,-0.04243869050121328,-0.013485385033579649,-0.024951823963430125,-0.1282510152761804,2.83,1.4000000000000001,-3.1367292520593812,-0.0048353266093768,0.2198405915893245,5.175023058975276
1.991385241880637,0.02228285570881669,4.878290483876461,-0.01076733458775896,-0.009983684090018718,-3.1071570976138947,0.004135012246733712,-0.031760461606769756,-0.032553127268265,-0.008879135136169298,-0.013257472374761738,-0.10879500098435461,2.41,1.5,-3.136257755150052,-0.005550625190149816,0.23553225354821328,5.187381314585725
1.9908874315637244,0.025634352678887515,4.875595037863008,-0.011313921527196598,-0.010840775412713477,-3.117040003178903,0.003289858894323774,-0.034916443457577585,-0.02222410542243432,-0.004183353013981562,-0.0016111968032385632,-0.08946927853437601,2.14,1.6,-3.1357614948692114,-0.006315216969912996,0.25122159089884777,5.199709980514407
1.9904915991199623,0.029302858536512807,4.873946366324677,-0.011426171258646747,-0.01053763053024949,-3.1250542949077893,0.0027800280072898657,-0.03820168513305044,-0.011693627266042346,0.00022535404326725074,0.009425483135465158,-0.07107964909194091,1.98,1.7000000000000002,-3.1352411548263914,-0.0071290944024511305,0.2669084487938024,5.212007109922054
