x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-5.626666167821523,-4.960573506572389,4.518246325898284,-8.352161337020926,-1.5196946385137249,4.020959137956113,-0.8401944841235407,-0.002353047970634473,0.006493503606068578,0.5422412068669653,0.15179244724273708,0.059261051858862976,0.009500647176120498,-0.0009260737897420768,0.0001625770593705056,0.017174774438899476,18499,953000000,5.94,0,2,1,-7.741170126392647,-3.4696388905962934,4.0930435838749135,-7.741170126392647,-3.4696388905962934,4.0930435838749135,145.9096450805664
-5.548671555455229,-4.969804777275898,4.574220708434925,-8.30475696032381,-1.5658002817135885,4.027745731709542,-0.8419947807905171,-0.002221023894990961,0.006331567393296553,0.5394439428047467,0.15625546851146505,0.06108084811829465,0.020497296739583913,-0.001224011487011012,0.0003149046563066804,0.016311823310388718,18500,314000000,6.3,0,2,1,-7.694549414522484,-3.5171510323711828,4.0970665523061065,-7.694549414522484,-3.5171510323711828,4.0970665523061065,146.42230939865112
-5.47054156659257,-4.9778098230154,4.631875447315323,-8.260695117153112,-1.6081523836413623,4.037595078384648,-0.8435493341927933,-0.002075391187890123,0.0061425669313254876,0.5370125533037438,0.16151333541868323,0.0624521539580379,0.030303686131192525,-0.0014523627214657608,0.00026444886884746666,0.015475036525458563,18500,721000000,6.72,0,2,1,-7.649364257324663,-3.5611444242968138,4.104760450703117,-7.649364257324663,-3.5611444242968138,4.104760450703117,146.94615268707275
-5.392295478639223,-4.9845866686656395,4.690983005625053,-8.220255586168573,-1.647033722340927,4.049318699996498,-0.8448802347173638,-0.0019029138201681322,0.005947035228458946,0.5349190599286182,0.16492687968438852,0.0637532879043283,0.03895298430716432,-0.002006554768740898,0.0005909935566705826,0.016222119302256033,18501,103000000,7.05,0,2,1,-7.605757440926737,-3.6018317739704666,4.115641234517873,-7.605757440926737,-3.6018317739704666,4.115641234517873,147.41577458381653
-5.313952597646566,-4.990133642141358,4.751310112835146,-8.166077683485442,-1.6976873388614495,4.068868997534961,-0.8468029516870651,-0.0016863015335353802,0.005598145858230628,0.53187458875581,0.1644533517276195,0.06597736609397545,0.0501768753016291,-0.0016800959656393388,0.0008449769495655346,0.018115555576514453,18501,463000000,7.33,0,2,1,-7.566495084809757,-3.637157851907072,4.127861543026602,-7.566495084809757,-3.637157851907072,4.127861543026602,147.93332433700562
-5.235532253548213,-4.99444937480985,4.812618685414276,-8.11099675696121,-1.746867232417158,4.092921330373755,-0.8489149165796559,-0.0014977953697367353,0.00524410805344387,0.5285013910561731,0.16036784245976649,0.06842258107833332,0.06052565682301879,-0.0017753793258634687,0.0008336859707469557,0.020097263404750265,18501,807000000,7.74,0,2,1,-7.514244046306084,-3.682318806809107,4.147473344068612,-7.514244046306084,-3.682318806809107,4.147473344068612,148.4870002269745
-5.157053795390642,-4.997532801828658,4.874666766435696,-8.058403936045972,-1.7905156910793618,4.119637679080083,-0.8510895543303287,-0.0012815260841780448,0.004872175107959587,0.5249963715211896,0.15205955146080147,0.07108226067424143,0.06957805375689642,-0.0021730827029387,0.0011157352219015593,0.021113829825480934,18502,150000000,8.19,0,2,1,-7.460932051198826,-3.7261770650304546,4.171342487398425,-7.460932051198826,-3.7261770650304546,4.171342487398425,148.99266529083252
-5.078536586559104,-4.999383162408303,4.9372094804706865,-8.006133853733072,-1.8298939002018069,4.149789589550366,-0.853291000049007,-0.001025957584140869,0.004439264522673474,0.521415102942846,0.1432660680068764,0.07396741083714475,0.07807788660636333,-0.0024471988126606448,0.0010463420494488673,0.020602546828740742,18502,498000000,8.65,0,2,1,-7.409096934448227,-3.7666744508905086,4.1979534713246105,-7.409096934448227,-3.7666744508905086,4.1979534713246105,149.48479628562927
-5.000000000000001,-5.0,4.999999999999999,-7.964379639037604,-1.858669614081217,4.17625670349544,-0.8549644400120107,-0.0007996416429363576,0.0041015163750322235,0.5186697836307963,0.137754125326578,0.0762444562335671,0.08458980860086217,-0.002409437138339854,0.0010340292647015303,0.01907056193886092,18502,863000000,9.12,0,2,1,-7.356627921597774,-3.8060057456663565,4.227581184203041,-7.356627921597774,-3.8060057456663565,4.227581184203041,149.98593378067017
-4.921463413440898,-4.999383162408303,5.062790519529313,-7.917216918858264,-1.8888681788494646,4.208468508068297,-0.8566255653956917,-0.000548214047288666,0.003725865787612034,0.5159248570247438,0.13509628898405096,0.0785003332961001,0.09175517458105184,-0.00232934332871082,0.0009917243119161867,0.01604081753612263,18503,241000000,9.48,0,2,1,-7.314134699736052,-3.8366271714872013,4.2534248174390905,-7.314134699736052,-3.8366271714872013,4.2534248174390905,150.49624824523926
