x,y,z,phi,theta,psi,u,v,w,p,q,r
0.7867116913615958,0.7645495063246531,-0.43830229421144407,-0.5175731372601554,-0.49385867351419777,-0.24758905628452207,-0.32630406644412796,0.48046111466081814,0.4478642417235827,0.015267340667370975,-0.16001390543088373,-0.17875094782558026
0.7677232208800157,0.8356336862490185,-0.39495847873897083,-0.5099382046612313,-0.5136318271708936,-0.25697583257682416,-0.3314146995769962,0.48652469308749585,0.44622701854653307,0.04746527080274511,-0.10381031710751124,-0.1577203188753225
0.7491007065111513,0.9071787646925492,-0.3526572389888503,-0.4985488122862341,-0.5274484486750051,-0.26767453404522284,-0.3359732426792293,0.4913107218734565,0.44167126027055437,0.0749008468172319,-0.048124991572383216,-0.13740924622838804
0.7308763941989158,0.9789335187673078,-0.31142302017771445,-0.48392681096325096,-0.5353559470580634,-0.2796087285878318,-0.34014665071560984,0.49499983759701666,0.4345869134119104,0.09790850776463861,0.006504469538496746,-0.11784290613733367
0.7130658231237429,1.0506926663304548,-0.2712450266158588,-0.46661846657524036,-0.5374606808318197,-0.29257621873056344,-0.34402732072047965,0.4977571125677483,0.42530767362083416,0.11732579880425853,0.058569185637405874,-0.09894637868008799
0.6956713612500697,1.1222871653206685,-0.23209509262355266,-0.4472137185514355,-0.5341579516093702,-0.30614537394573654,-0.3476354514139281,0.499727670296943,0.41415795190121674,0.1340759314005087,0.10364176895207826,-0.08071233673947965
0.6786743270860396,1.1935769690869105,-0.19395279231407792,-0.4263215089155966,-0.5262207005514629,-0.3196817963892672,-0.3509994724783376,0.5010353195512702,0.40147598884969454,0.14892755003873806,0.1387632430537165,-0.06321462374913825
0.6620280965750842,1.2644462254499016,-0.156825913676368,-0.4044827450016505,-0.5146196948011658,-0.33251956444306596,-0.35415804716925803,0.5017844832884183,0.3875802080550387,0.16241564413699205,0.16323119698877683,-0.04645063346047609
0.6456589970770388,1.3347994227015014,-0.12076020772817099,-0.3821164153142422,-0.5003461428880324,-0.34409087448322545,-0.35714575079105265,0.5020624404412675,0.37274397109600615,0.17482911247131114,0.17797395191284146,-0.030467665144328724
0.6294728670432833,1.4045581302325525,-0.08583883826072171,-0.35951206487015647,-0.48428856910443197,-0.35398188350628096,-0.35998041943854064,0.5019428387948334,0.35718480402768576,0.1862750748900291,0.18480827230881305,-0.015159608945658837
0.6133636515360055,1.4736580196922013,-0.05217486806221296,-0.3368534990527065,-0.4671681645217292,-0.36193147262975256,-0.36265938715837787,0.5014883000454796,0.3410662419830724,0.19672907220122546,0.18583143443376154,-0.00042060908690062554
0.5972218518990225,1.5420461991485053,-0.01990086978477637,-0.314252124004638,-0.4495209453934481,-0.3678060143821705,-0.3651610089254407,0.5007524427888576,0.32450628784242164,0.20608828179937555,0.18306309647199312,0.013856528591053477
0.5809419251460887,1.6096789847178372,0.01084119880327075,-0.2917706189918301,-0.431712140750253,-0.371585969014628,-0.36744987307368276,0.4997796564622045,0.3075881280977375,0.21420292662713009,0.17827176599863565,0.02743276095970639
0.5644292280507179,1.6765203556460246,0.03990735857146452,-0.26943888159347557,-0.4139625634133637,-0.37335827202972754,-0.3694830679156243,0.4986044465052807,0.2903695696126427,0.22092242552225375,0.1729183376214736,0.03997700194622324
0.5476055408186106,1.7425409822321627,0.06715815300306575,-0.24727249626451503,-0.3963707236604928,-0.3732880713639409,-0.37121525817741335,0.4972524786329605,0.27289008392265307,0.22612830771434383,0.16815483493953612,0.05121037312006747
0.5304125287546303,1.807717662986751,0.09246476157817364,-0.2252862456142122,-0.3789344049569732,-0.37158950983891414,-0.37260211831271445,0.49574192726341015,0.2551762661229458,0.2297403381880621,0.1648400563204036,0.06093773392387681
