x,y,z,phi,theta,psi,u,v,w,p,q,r
1.9995827822401318,2.9996746660105367,1.9996193469584587,9.809212912713247e-27,-2.4945387598874307e-24,0.0,2.243114751209614e-24,-0.008312784559744817,-0.007583869754746462,-0.0022422750782700018,-0.032362371032809076,-0.01957597610406007
1.9979812897369347,2.9984254981409073,1.9984905168597011,7.44885105243821e-27,-1.1330303866511113e-24,0.0,1.2427497881989668e-24,-0.023658021396429373,-0.014945599007030616,-0.006241236128808213,-0.09034799938990958,-0.057160093464339416
1.994550405097555,2.9957471620728118,1.9966424286165607,1.55343291008804e-26,-1.673383736545957e-26,0.0,6.124874451825956e-25,-0.0448744736386878,-0.021934438936669576,-0.011562604342270978,-0.1639921033570763,-0.11027507292844711
1.9887565022460112,2.99121764134385,1.9941235132739243,1.1755402391852184e-27,-3.4012939732054983e-25,0.0,3.853452339975708e-25,-0.07088736954622098,-0.028317655551748512,-0.01783112842318923,-0.24157642052271203,-0.17543966909268588
1.9801710150679561,2.984489287962091,1.9910072883321872,7.871026694060404e-27,-4.427404047012476e-25,0.0,4.0867705549456665e-25,-0.10066440446450399,-0.033838622917476746,-0.02470941321459944,-0.3129515204036073,-0.24853327216509652
1.9684677836010613,2.9752811280756917,1.9873912275600771,3.1124320859010677e-27,-2.5019778393928796e-25,0.0,3.6833974101442083e-25,-0.1331891097664015,-0.038285133384491216,-0.03185022005230926,-0.37214558464576986,-0.32554030128989636
1.9534213427486977,2.9633726231483455,1.9833900223738767,1.8367738478485206e-27,-1.5466368657526106e-25,0.0,2.710400855695229e-25,-0.1674690635104298,-0.04152852787858228,-0.0388281429869866,-0.41764470512527935,-0.4032848739795394
1.9349029805582587,2.9485987229433506,1.9791271426252381,-5.39157675494932e-27,-9.819627606894248e-26,0.0,2.216525001712596e-25,-0.20256882653185992,-0.04351887614368953,-0.04501546956675214,-0.45096392376939287,-0.4797634479418908
1.912866561122748,2.9308461682070512,1.9747671820291637,-9.97331396320225e-27,-7.884413124999289e-26,0.0,1.7832347394694415e-25,-0.23778002681741556,-0.043363991708590094,-0.012832361117791435,-0.4779809886884428,-0.5540150675304704
1.8873372414169676,2.910049564303809,1.9705624157963768,-5.7986587349048264e-27,-8.129303427369489e-26,0.0,1.6220605187834532e-25,-0.27238618076363247,-0.04026643243889579,0.056241456217603916,-0.5012642885663009,-0.6257314939806214
1.8584063615714117,2.8861853647014173,1.9668551934289675,-1.0232645405067825e-26,-6.667383978948809e-26,0.0,1.6366916426101052e-25,-0.30578268286105326,-0.03324124805653784,0.15499808630149844,-0.523878718169783,-0.6947849866820396
1.826219854673275,2.8592601068809183,1.9640882472738554,-2.4446992509497704e-26,-8.87529812225776e-26,0.0,1.133928007816612e-25,-0.33748407079054066,-0.02130562152214385,0.2685942623194354,-0.5491941517228457,-0.7610399230110726
1.7909661106980626,2.8293005564285907,1.962793573616856,-1.5528593316635212e-26,-3.612657813124156e-26,0.0,9.089536798038213e-26,-0.36712804734241405,-0.0036832897872774856,0.3807561335136792,-0.5805421833675738,-0.8243156181569191
1.7528635226903115,2.79635023575888,1.9635665221078162,-2.1121535422422193e-26,-7.465664825315356e-26,0.0,1.1982892713271846e-25,-0.39447783589034113,0.02010371759134,0.48035301029482713,-0.6207221229529243,-0.8843995912457894
1.7121479087826077,2.7604711312229218,1.9670297890061312,-2.9528096828858733e-26,-7.897172225093456e-26,0.0,8.464619720000804e-26,-0.4194219523909456,0.05010756348081015,0.5637717833838948,-0.6714329588455662,-0.941068557221078
1.6690602475783411,2.7217459829382635,1.9737936406040402,-2.7545916878344256e-26,-8.250333598955226e-26,0.0,9.43255098926642e-26,-0.44196719789517686,0.08606483344531758,0.6326901604936155,-0.7328634041460443,-0.9941226380648903
1.6238356326530428,2.680277965827796,1.9844322788849609,-2.2825997450251796e-26,-6.868929561700991e-26,0.0,8.479625550047993e-26,-0.46222116351180903,0.12752465830196502,0.6907178154991854,-0.8037839752434656,-1.0434295081410954
1.5766944529675138,2.6361876470678136,1.9994664097393091,-3.5254107386738934e-26,-3.384354913336823e-26,0.0,6.763326405274929e-26,-0.4803657460070032,0.17386755703563073,0.7412471498424855,-0.8819844358955166,-1.0889569560909744
1.5278364991763227,2.5896085845579733,2.019346170647092,-4.9214290877527804e-26,-2.782509872843547e-26,0.0,6.5301176703818e-26,-0.4966260208642251,0.22430085670776562,0.78669736481878,-0.9648311256846535,-1.1307785597122049
1.4774381852067695,2.540682836573457,2.044433992993926,-5.216841244979927e-26,-2.3120781337460283e-26,0.0,7.340472918387111e-26,-0.5112399420375681,0.2778664203219495,0.8285203304358498,-1.0497370959344912,-1.169054283770923
1.4256525753016738,2.489557109040619,2.074989589400068,-8.919360030156422e-26,2.0765088511146868e-25,0.0,3.1589159272102583e-25,-0.5244330463073488,0.33347619268027645,0.8674523273203759,-1.1344388394784541,-1.2039975094416686
1.3726116056049598,2.436379830517705,2.111159814563186,-1.0026140736126873e-25,2.738245156963602e-25,0.0,3.269011960660456e-25,-0.5363999939920977,0.3899725467064182,0.9037728058760179,-1.2170916045476805,-1.2358398748177497
1.318429802662929,2.3812991868748434,2.1529753031907415,-9.771541263878648e-26,3.062338582234061e-25,0.0,3.0109873340604336e-25,-0.5472930267447413,0.4462010931052347,0.9375010740377324,-1.2962553501982343,-1.2648010230820912
1.2632088366123615,2.3244620074737616,2.2003544220214373,-9.507233969288437e-26,3.5398269684426346e-25,0.0,2.530782449659116e-25,-0.55721669346849,0.5010819387962148,0.9685292200829786,-1.3708390923862257,-1.2910664223441801
1.2070423240692019,2.2660133230117507,2.2531137788466404,-9.227472626699175e-26,4.0801813793848194e-25,0.0,2.197529717638669e-25,-0.5662279829646032,0.5536680098213426,0.9967064104164293,-1.4400408247318113,-1.3147740688032732
1.150020390119674,2.2060963880121425,2.310983610797372,-9.08053519649789e-26,4.456657003820105e-25,0.0,1.7757258668521193e-25,-0.5743408249049342,0.6031835819896516,1.0218891907303658,-1.5032951467754299,-1.3360096108023292
1.0922336136909219,2.1448529665693425,2.3736259352190148,-7.951063172617351e-26,4.765990197179345e-25,0.0,1.2851627605735357e-25,-0.5815337007536069,0.6490410466739092,1.0439685414892588,-1.5602293281926245,-1.3548086161024477
1.0337761143164912,2.0824237096817324,2.4406533651394002,-7.324951195942812e-26,4.674387397029181e-25,0.0,1.0586004522961222e-25,-0.5877589775285375,0.6908380721289447,1.0628812730733106,-1.6106259581502111,-1.3711641437872761
0.9747476754269078,2.0189484956423835,2.5116468553619127,-6.807971114216415e-26,4.701867072359892e-25,0.0,5.735668489570764e-26,-0.5929526408900224,0.7283399880170652,1.078611297668772,-1.65439082311452,-1.3850375212525414
0.9152549206808828,1.9545666522168668,2.5861711910526126,-6.322321503128552e-26,4.788339074212304e-25,0.0,-2.0964508989170993e-27,-0.5970433504868474,0.7614532254222554,1.0911849321767184,-1.6915254202369305,-1.3963703088573884
0.8554116504896578,1.8894170220108408,2.6637876045207487,-5.1685271123455257e-26,4.868567783344344e-25,0.0,-4.481180071297672e-26,-0.5999600909532723,0.7901952634159074,1.1006632961388307,-1.7221038514239302,-1.405095799844251
0.7953385002091391,1.8236378658462429,2.744063394235016,-4.1339794715067234e-26,4.971798764271435e-25,0.0,-8.89996689105092e-26,-0.6016380544239027,0.8146653066270286,1.1071339267290996,-1.7462538676680215,-1.4111489232641834
0.7351621018943053,1.7573666214152504,2.8265787672661036,-2.949659844665608e-26,4.967466185784654e-25,0.0,-1.4319738831989548e-25,-0.6020226973392727,0.8350184025882006,1.1107029305461422,-1.7641417235508894,-1.414473952451165
0.6750139255908302,1.6907395468912412,2.910931325149013,-1.6716185160507263e-26,4.998230368849135e-25,0.0,-1.9629223797113555e-25,-0.601072131730463,0.8514443127195992,1.1114883588224962,-1.775960391663916,-1.4150298721090158
0.6150289531595491,1.6238912835884747,2.9967386884889926,-3.927334474131188e-27,4.8276743419267765e-25,0.0,-2.458865512563988e-25,-0.5987581354323105,0.8641513904957305,1.1096150412195342,-1.7819206202813096,-1.4127935746723355
0.5553443063514715,1.5569543708503548,3.0836397440460903,9.178858939903056e-27,4.620170702773474e-25,0.0,-2.953472593660522e-25,-0.5950661114666852,0.8733550457771126,1.105210828970626,-1.7822443038825218,-1.4077612377046642
0.49609791794901315,1.4900587422622766,3.1712949365477363,2.1619856813392272e-26,4.220577975727334e-25,0.0,-3.4630591393676164e-25,-0.5899943170479385,0.8792700344106764,1.0984040478133148,-1.7771596671699337,-1.3999483031039872
0.4374273046888264,1.4233312268098204,3.2593859449208384,4.008788008743252e-26,3.795798539085947e-25,0.0,-3.9164979936903795e-25,-0.5835526400892347,0.8821057152525176,1.0893219054944747,-1.7668978225374916,-1.3893884700330705
0.3794684756623834,1.356895072872825,3.347614998568749,4.948976632438548e-26,3.1470945073825967e-25,0.0,-4.239472026592339e-25,-0.5757611443146948,0.8820634691703039,1.0780896014070398,-1.751690332994415,-1.3761320599045617
0.3223549907506997,1.290869507668739,3.435704014736177,5.472524778258855e-26,2.5186967321489748e-25,0.0,-4.53059796202352e-25,-0.5666485460288141,0.8793356008331884,1.0648299202279117,-1.7317674880025888,-1.3602440397449294
0.2662171699421929,1.2253693402031474,3.5233936774913666,5.389138515588545e-26,1.753838866298425e-25,0.0,-4.661904247128815e-25,-0.5562507336837844,0.8741051934609635,1.0496631355236952,-1.70735706619023,-1.3418019163294064
0.2111814455296092,1.1605046121482778,3.610442533102594,4.9791203121636177e-26,1.2294301378859573e-25,0.0,-4.541995609382906e-25,-0.5446093992356561,0.8665465278978451,1.0327070962725513,-1.6786834196294673,-1.3208936485526874
0.15736984390999845,1.0963802982257858,3.6966261439142474,5.60728166124678e-26,5.174460014197813e-26,0.0,-4.832050005549096e-25,-0.53177081842153,0.8568257972993529,1.0140774065622464,-1.645966756753071,-1.2976156720078977
0.10489958123205557,1.0330960556080924,3.7817363208289247,6.116603551602927e-26,-3.0383486643053124e-26,0.0,-5.017590036965053e-25,-0.5177847945740341,0.8451019418407162,0.9938876421192604,-1.6094225399106452,-1.2720710902144967
0.05388275642299897,0.9707460203729832,3.865580440591772,6.179924848519502e-26,-1.0204737028663055e-25,0.0,-4.978134572709406e-25,-0.5027037659651236,0.8315274966986614,0.9722495682221406,-1.5692609322594808,-1.2443680579188066
0.004426125640994462,0.9094186481098442,3.947980845911785,5.328493556644996e-26,-1.8262571821631142e-25,0.0,-5.143044034602713e-25,-0.4865820678874327,0.8162493940718736,0.949273341178628,-1.5256862477641397,-1.2146183635126573
-0.04336905669140441,0.8491965952017895,4.028774322239378,4.7732944580398095e-26,-2.651858116689867e-25,0.0,-5.445233104965293e-25,-0.4694753362918966,0.7994096915637835,0.9250676860745484,-1.478896364903347,-1.1829362061620923
-0.08940714370522372,0.790156637043403,4.107811643311181,4.3225018848005655e-26,-3.50215523928564e-25,0.0,-5.388422624420049e-25,-0.4514400384475488,0.7811462190091036,0.8997400494778596,-1.4290820647733167,-1.1494371574014972
