x,y,z,phi,theta,psi,u,v,w,p,q,r
1.7794181082415574,2.6682617668421367,1.6826637814292627,-0.17984558344856522,-0.1563795650611152,0.2902948396593396,-0.508022631915478,-0.4047658311920522,-0.5032167019038676,-0.021085015706857595,0.34493264843861676,0.11166165876836846
1.7501300933783899,2.6065216162813907,1.6319848883282029,-0.17968015878048368,-0.11138358917718688,0.292339330866901,-0.5361006522964199,-0.4344344283700011,-0.544944672821052,0.026709134353977548,0.5306714682945193,0.07850440879245575
1.7171434928083973,2.5401496442157026,1.5799133492121717,-0.1742088495368791,-0.05205349414406875,0.2885652993023189,-0.5584687910151388,-0.4622700885454178,-0.5849857460855294,0.07357007118870601,0.647678562976291,0.04635668039846225
1.679690684730861,2.4697407820010464,1.5274198854816592,-0.16453128998069447,0.015218110249975842,0.2805904089127735,-0.5751445196096969,-0.4882028848199296,-0.6209168175554486,0.11445211145054743,0.7049734948137887,0.01421657928810523
1.6373431913170704,2.3959942623328674,1.475450658817433,-0.15194112924384004,0.08543964304193095,0.2696495131880126,-0.5866494900601382,-0.5123303703160869,-0.6512600617310728,0.14640414663810133,0.7182276735027935,-0.016728229824587392
1.5899956288353068,2.3196356338345154,1.4248404537812638,-0.13772704904797348,0.15501587144748974,0.25663854091488825,-0.593664326547088,-0.5347689886777169,-0.6754823467166663,0.16789443524041958,0.6991928286578497,-0.04480628306012443
1.5378251744056626,2.241352219036139,1.3762464931197251,-0.12308176335144709,0.22127351262904246,0.24226883020149464,-0.5969008830058005,-0.555604428838026,-0.6937169812450255,0.1783355047265396,0.655116573045085,-0.06834708123207762
1.4812389166244797,2.1617445185186197,1.3301040381798452,-0.1090585941837273,0.28208145217992386,0.22711671384691084,-0.5970618247914624,-0.5748994659645823,-0.7064999276421806,0.17783530694450983,0.5905322376425052,-0.08682947719589758
1.420811053026642,2.081296614615445,1.2866050812022094,-0.09655683829980297,0.33564866277779515,0.21161069834816035,-0.5948060088747349,-0.5927107985246635,-0.7145709710600079,0.16720515811319012,0.5087356687972339,-0.10069525751184497
1.3572182565194728,2.0003661253154124,1.2457005954660154,-0.08630453573846711,0.38044445243710956,0.1960283467305036,-0.5907124752604981,-0.6091022766272723,-0.7187242011801314,0.14805308081673063,0.4125405475932188,-0.11095584136326692
1.2911835255607678,1.9191919628631804,1.2071228846712612,-0.07881129140096513,0.41516682800439975,0.1805227877854846,-0.5852477533472973,-0.6241484282215659,-0.7196840747050619,0.12295514775284741,0.30438634665178105,-0.11876837387033815
1.2234374316699186,1.8379172663993537,1.170420384009263,-0.07427422295222903,0.43869285781598305,0.1651854051939264,-0.5787422241074928,-0.6379260632245116,-0.7179831085766455,0.0956167480938065,0.1858256588613797,-0.12505962983289073
