ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0,0,0,1.0532274509790762,4.807270888754172,0.13370187457392124,-0.9216259711424922,0.14928274560098428,-0.0959066102055103,-0.34514077316419456,1.270720961682425,0.20702573149022538,0.4247545191045484,0.0008660366130897046,-0.00020707806456243816,-0.3689291072078049,1368,345000000
0.0,0.0,0.0,1.070075711535477,4.828513694099384,0.13370225000778188,-0.9228931142921377,0.14892833358284133,-0.09645664672526089,-0.3417378620388953,1.270680488197752,0.20699070643533143,0.42486036615957,0.000729989010750387,-0.00017798804137214574,-0.36893569049425423,1368,360000000
0.0,0.0,0.0,1.284175654278693,5.073360216217835,0.13370817534132257,-0.937114288714713,0.14451703157520465,-0.10295350532920665,-0.3005531786753182,1.2702716516971766,0.20663831314052428,0.42592959502248656,-0.0007274154654623999,0.00011573594527192199,-0.3690039709908888,1368,688000000
0.0,0.0,0.0,1.4169276717455948,5.20393229884865,0.13344241976646962,-0.9440390310074882,0.14733399451785617,-0.10515090591601867,-0.275728650993863,1.1578234439961457,0.15053611370408385,0.372415170261794,-0.3584881138522178,-0.003772252375711105,-0.45722353097517043,1368,788000000
0.0,0.0,0.0,1.546838246313839,5.294991914748744,0.1320442856725163,-0.9513762613165513,0.17215464014400295,-0.10094573262543687,-0.23464003994404609,0.7777706548959279,-0.04519352293130437,0.20990091133151562,-0.39087517943698913,-0.09298217119066976,-0.6654038152191788,1368,933000000
0.0,0.0,0.0,1.6347233457478467,5.319804310520665,0.13098295678133434,-0.958946051055519,0.18998987700540984,-0.09473275334792339,-0.18802133720303266,0.5071038051939365,-0.19585683854178532,0.06265987300527123,-0.3439854714088142,-0.18937259301310405,-0.7467182294931263,1369,78000000
0.0,0.0,0.0,1.6903832851905232,5.305736804494133,0.13022771566841254,-0.9646547076644272,0.20295944307210542,-0.08748193710319815,-0.1435119163323777,0.3155395392173831,-0.323763117941989,-0.05903420102946758,-0.3069292608415708,-0.24979370646178722,-0.7749984681140631,1369,221000000
0.0,0.0,0.0,1.7467077626010052,5.170353393839228,0.12869898945224972,-0.9708230964654858,0.22693341736329833,-0.0704899025709019,-0.032170065099806855,-0.0034351860076161935,-0.6159498993380333,-0.31224403800120804,-0.2410269109532237,-0.27983435429632664,-0.7833691954147071,1369,352000000
0.0,0.0,0.0,1.7348091079886925,5.060501672199102,0.12761305208912457,-0.9682522665130007,0.24028409137386916,-0.06463067078039017,0.023957884287803044,-0.10868253490477942,-0.7564155123234437,-0.43049533376990956,-0.23581570421811193,-0.26410775899421424,-0.7721188827417791,1369,628000000
0.0,0.0,0.0,1.6707193389157187,4.867369332004755,0.12572763596003836,-0.9614638460296345,0.2577491711578599,-0.0701809581797064,0.0650174642255259,-0.26678346886460513,-0.9421216498772977,-0.5977427225460048,-0.17723966157063842,0.20489560265559703,0.0317910036756075,1369,776000000
0.0,0.0,0.0,1.5970378030610783,4.706720532757197,0.1244311926950657,-0.9593601625968777,0.2660817543306461,-0.08398351254355102,0.042134879319450425,-0.42250737870276545,-1.063931763718063,-0.7324913678454739,-0.12871553335571662,0.31558688497170806,0.40803231531754136,1369,959000000
0.0,0.0,0.0,1.4937085029069461,4.492595696191992,0.1225341710557785,-0.9552934670279651,0.27891984933920727,-0.0978795916662442,0.00613962812661234,-0.566635783792277,-1.189954870438587,-0.9097579297180189,-0.20816286996705458,0.21030808129580691,0.2391581845586188,1370,105000000
0.0,0.0,0.0,1.3964833437929431,4.2727971933321545,0.12019078929356047,-0.9491520235710216,0.2965254084187986,-0.10535396002832417,-0.009146661656026456,-0.6036064296974235,-1.316460677354059,-1.0980967282687029,-0.3115381521638483,0.12278946451260708,0.0966587474977132,1370,258000000
0.0,0.0,0.0,1.2826152815024041,3.9834854547819374,0.11650340057052469,-0.9391871377160432,0.32417581116274014,-0.11154728321925617,-0.01986875466979099,-0.6349564159123023,-1.4233143858758688,-1.3376700863382505,-0.4178915754891932,0.1083911229216028,0.048359546417486854,1370,411000000
0.0,0.0,0.0,1.1457534223101498,3.6170081877426776,0.11140604258427235,-0.9251227780628104,0.35849063484921917,-0.12040823061871805,-0.03367741430130122,-0.7119476706329053,-1.4428247479733305,-1.6052494156706891,-0.43020449520554394,0.17977477109525353,0.0795528045273386,1370,561000000
0.0,0.0,0.0,1.0637032431911346,3.400914394333099,0.10895732243627339,-0.9180005897895216,0.37282565448282623,-0.12783943704430967,-0.04396620112923888,-0.7713274919389714,-1.4109517914974505,-1.7013312983854942,-0.27511501393746585,0.23926295252749696,0.10862348208320327,1370,743000000
0.0,0.0,0.0,0.9776301178639967,3.1797094283430916,0.10666631919238895,-0.911121483723803,0.38457273642173107,-0.13717013992085025,-0.05608747642862988,-0.8234837307869418,-1.361892424846202,-1.7911790162310062,-0.20972835191059858,0.28677822556346655,0.12079792795702815,1370,846000000
0.0,0.0,0.0,0.8520290948987616,2.868371111971254,0.10580038213586297,-0.9052441284560254,0.3896755413730615,-0.15295547920605404,-0.07273693513166735,-0.881517425325575,-1.2836090664998188,-1.7962936626793542,0.010616145436870283,0.31339076813310385,0.11510754993651062,1370,939000000
0.0,0.0,0.0,0.7081676351831678,2.528048764952594,0.10806329876334671,-0.9026640850859329,0.3842947706494242,-0.1719444218253564,-0.08916386347969624,-0.8902467055502962,-1.1714853394633953,-1.6896372199970053,0.13228998868726194,0.28597034397535026,0.11286868029856123,1371,83000000
0.0,0.0,0.0,0.6028503636553271,2.2894517932164864,0.11180441380738357,-0.9026702088396898,0.37582127025860645,-0.184388314412958,-0.09972871403194866,-0.8844518829544686,-1.0910956092054027,-1.5771544919207883,0.19622160325525329,0.23870569857535884,0.12491171073634177,1371,240000000
0.0,0.0,0.0,0.4177006852688582,1.8972142306604391,0.12195893860778449,-0.9057481222241919,0.35546538379629583,-0.19940880074322948,-0.11619307292626918,-0.8647907870289101,-0.9196345107674574,-1.3240717029186302,0.22743899025954306,0.12131987459724769,0.15528137737419456,1371,376000000
0.0,0.0,0.0,0.24312989841134916,1.57716137100331,0.13288429305856211,-0.912968817318419,0.3309721281755966,-0.20179139310640293,-0.12737983609386844,-0.8349910095152218,-0.7159592695073351,-1.0365212484441293,0.3225660155294463,-0.0225040868826909,0.15531375829596072,1371,582000000
0.0,0.0,0.0,0.13700118106997886,1.4107572233552308,0.140278093592317,-0.9206516934003732,0.3105573592083871,-0.19725304902176866,-0.13055964434752942,-0.8160590516499573,-0.6057064913184972,-0.8555495602727865,0.3803930041613057,-0.1043539283273276,0.14147530018817633,1371,809000000
0.0,0.0,0.0,0.0488440177876436,1.2894060407257875,0.14748750570450556,-0.9286113247447596,0.2905092725500929,-0.1901745063560719,-0.13083970058977695,-0.7987715351189714,-0.520860042543717,-0.705959698491033,0.38245547330006957,-0.17246810311917216,0.10511790314922109,1371,944000000
0.0,0.0,0.0,-0.022695286842878182,1.20283970743813,0.15439063245038118,-0.9358004399639768,0.27321982665709554,-0.18201881620773075,-0.12844303574359467,-0.7808057719668942,-0.45318986747627177,-0.5871090808514695,0.3766559879295528,-0.2290916265337728,0.049327513988828287,1372,59000000
0.0,0.0,0.0,-0.10627962047549734,1.1152154511309527,0.16372045424835904,-0.9449991131076738,0.25224105411377956,-0.16970213172442838,-0.12063296951274854,-0.7534718041412679,-0.3808568797520264,-0.4586950859329306,0.35412250144872814,-0.2943287690868601,-0.05333270746632479,1372,166000000
0.0,0.0,0.0,-0.18744412010919584,1.043615328046143,0.173895201014047,-0.9544722623488054,0.23122438064992729,-0.15523689741874663,-0.10686202262549582,-0.7211738465419155,-0.31973171786229243,-0.3493146448961586,0.32832579454407096,-0.33976369304582477,-0.16068454569904134,1372,289000000
