ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0.0,0.0,0.0,-0.2579984958242711,-1.5681757903375744,0.1399859389041763,-0.07322357862841128,0.0027725363856104758,-0.004144909687764305,-0.9973030834698746,-0.19364304361202916,0.08505365000794653,-0.004572348287452957,-3.0305553622156367e-07,-2.211283389730312e-06,0.3830543515505269,1368,400000000
0.0,0.0,0.0,-0.25440612366386256,-1.570410892526524,0.1400394294761173,-0.06940284558234278,0.002788494134184831,-0.00413574505555599,-0.9975762451754613,-0.1936821052015986,0.08511106435539945,0.0004007671126792998,6.735543354174922e-05,1.1214646195023548e-05,0.383053784025833,1368,400000000
0.0,0.0,0.0,-0.2507967972838882,-1.5726182033183522,0.14004113426512974,-0.06558109206417867,0.002804276145395973,-0.004124412560709108,-0.9978347787184003,-0.19365931647454393,0.0850775081299144,-0.002493682224789118,-8.524710066737384e-05,-1.2183648004371328e-05,0.38305361522361636,1368,421000000
0.0,0.0,0.0,-0.21381479713822985,-1.5931461844448656,0.14000429507306386,-0.027319880012584175,0.0029600924713064805,-0.00401306744762518,-0.9996143042685612,-0.19363928367800193,0.08504807943826476,-0.0050458537303262295,-9.224743759972398e-05,-1.5979116207986976e-05,0.3830540255876258,1368,702000000
0.0,0.0,0.0,-0.1909930515209971,-1.6041954772795453,0.14009034851011365,-0.006493625805236325,0.0030291809701013025,-0.004257649415175406,-0.9999652640507115,-0.18988394237742506,0.09007195454552383,1.6900775433925805e-05,0.025820857263170183,-0.0011546404039108893,0.17352031863993034,1368,802000000
0.0,0.0,0.0,-0.17270456102552648,-1.6140246151531104,0.14008282622532942,-0.012892683737344535,0.0028805862931455097,-0.00569952325494696,-0.9998964928247936,-0.18073867964695203,0.09855745700704013,-0.0019961214649349694,0.02653631763678277,-0.0022441573719333974,-0.3385982912732288,1368,919000000
0.0,0.0,0.0,-0.152107581494287,-1.6271435306093458,0.14002128386838966,-0.04598452077772214,0.002548834140555723,-0.006985862861956207,-0.9989144733226369,-0.17519529637490902,0.09937610400449713,0.0011282542785913952,0.008828104819258442,-0.0005912139613428735,-0.7037727744318545,1369,31000000
0.0,0.0,0.0,-0.13618809290934736,-1.6390564752102563,0.14003981796622192,-0.08654175889406118,0.0022422681075545967,-0.007279431492158649,-0.9962191054574325,-0.17232556985738073,0.09490666498765471,-0.0033281386149119413,0.004106630262867839,1.2437528074116244e-05,-0.8856245665811002,1369,138000000
0.0,0.0,0.0,-0.12145515015562926,-1.6516823395873923,0.14001009731323247,-0.13338794116494745,0.0018551122915954933,-0.007586024518302405,-0.9910331316066934,-0.17063628962077532,0.08781954661620775,0.0004610694785037525,0.0020466964997467585,-0.0004885315235014787,-0.972196675138548,1369,246000000
0.0,0.0,0.0,-0.10537723189733474,-1.6676575131528661,0.14001906040734305,-0.19022555274222153,0.0013602358576370178,-0.0075851254555311075,-0.9817101683868573,-0.1688230277401939,0.07975649216361023,0.001422773050653595,-0.003414759635234077,-0.0016301539631058404,-0.9386440739035606,1369,347000000
0.0,0.0,0.0,-0.08652367932208739,-1.6903009616673736,0.14000271546677232,-0.25872164433384304,0.0007758674952413548,-0.007192743301906926,-0.9659248279377722,-0.16778177150533852,0.07218516816164978,-0.003687129662962726,-0.006908749674039427,-0.0024113697008942836,-0.821868801722303,1369,475000000
0.0,0.0,0.0,-0.07223370223118804,-1.711366293945411,0.14001855240902425,-0.3100707400073381,0.0003795849259319432,-0.006668584984360838,-0.9506900241829046,-0.1680062075223225,0.06875613329535703,-0.0019162732360009885,-0.007799287141097011,-0.0027409750373408315,-0.7136164698749781,1369,621000000
0.0,0.0,0.0,-0.05983151470869591,-1.7335554928585855,0.13999613277622103,-0.35350945006352974,8.814164946638553e-05,-0.006074160851970224,-0.935411228025821,-0.16913940106324846,0.06718160222054609,-0.002533586475527388,-0.008451002213405445,-0.0029152715114832972,-0.6049201008863747,1369,775000000
0.0,0.0,0.0,-0.04909819544603851,-1.7567532986400687,0.13999607921855428,-0.3891737876302066,-0.00011920592978199125,-0.00546804045502652,-0.9211481147704137,-0.1708267795127909,0.06621862237847301,-0.0011865877994062593,-0.008164846894942457,-0.003155448030156549,-0.48884885909501463,1369,909000000
0.0,0.0,0.0,-0.040970668951575605,-1.7772453867851106,0.13999354023394497,-0.41301789021195173,-0.00025428521609962684,-0.004970712696412834,-0.9107093113168365,-0.17203151789921514,0.06514105583805119,-0.00237884525322145,-0.007295732621059869,-0.003404730637157627,-0.3801844432018697,1370,51000000
0.0,0.0,0.0,-0.03480420734178411,-1.7945929182598652,0.14000715772696554,-0.4283612207841784,-0.000358618428030243,-0.004604415622127897,-0.903595780909744,-0.1724050588142835,0.06445816173224615,5.858255425451526e-05,-0.006168082700241939,-0.0034789655956046772,-0.3072453575441614,1370,159000000
0.0,0.0,0.0,-0.029068607696870363,-1.8120274948898358,0.1400063085980908,-0.4407901986211442,-0.0004471367816638453,-0.0042574079705290525,-0.897599952844029,-0.17189613278133586,0.06265274701336145,0.00011092440726005897,-0.0058869406529993284,-0.0034265937301825034,-0.2544457063777372,1370,260000000
