x,y,z,phi,theta,psi,u,v,w,p,q,r,angle2,time,yaw_ref,x_ref,y_ref,z_ref
0.0003211235048467921,1.1515562286697803e-20,4.995961128830321,1.1223301234081665e-20,0.013847787705035574,2.458118689334504e-19,0.0070575691383335,2.2803966401204363e-19,-0.08029109449761784,1.918742143552859e-19,0.26684339736857143,4.8935465981947344e-18,0.82,0.1,0.00022352047192769552,-2.4673990709267457e-05,0.015707937429397818,5.012566039883352
0.0005536351075102106,1.2440081687741987e-05,4.987675790089551,5.9089629034924636e-05,0.037361901267507866,8.785535855937374e-06,0.0020197146169861294,0.0002446165500854231,-0.08524054164328837,0.0011809727395552048,0.2034465781306953,0.00016610168476910013,2.24,0.2,0.0005877459047760432,-9.869571931453436e-05,0.03141571982779476,5.0251300954433376
8.068832817843604e-05,6.314739507983722e-05,4.979265467560996,0.0002654682034425256,0.053549297591569456,4.240176532442519e-05,-0.0036505521329365416,0.0007431041814519579,-0.08326321730218883,0.002937406211646458,0.1211377051093637,0.0004606702117419072,3.24,0.30000000000000004,0.0009069671548654459,-0.00022206445525085883,0.047123192165720036,5.037690182669935
-0.0009569974305734411,0.0001782610838963778,4.971151577144333,0.0006523140802014073,0.06194097515581975,0.00010744628676042929,-0.00756137547083256,0.0014855644749532078,-0.07997789693147035,0.004769927595405336,0.047151987816976375,0.0007706447862882858,3.8,0.4,0.0012224608664056804,-0.00039477898091977437,0.06283019941676304,5.05024431817977
-0.002321475159002188,0.0003826742043709297,4.963430706348989,0.0012115281872373581,0.06337651417584751,0.00019865146512241917,-0.009897328898612388,0.002460013723043953,-0.07588199613107717,0.006369825475260314,-0.01809700188159097,0.0010340005444289353,3.96,0.5,0.001549733628192952,-0.0006168375916972835,0.07853658655910338,5.0627905195293135
-0.003736689229752508,0.0006996862927782354,4.956162454359238,0.001910074059329617,0.05891896907700247,0.0003059787951263667,-0.00941850585791019,0.0036549625483570554,-0.07098810453316624,0.0075599864895475235,-0.06984223541966691,0.0012561068794820717,3.79,0.6000000000000001,0.0018857070726733553,-0.0008882380959551739,0.09424219857704089,5.075326805527933
-0.004983156815104273,0.0011508328885159675,4.949399482955587,0.002702254302262913,0.050014242859750126,0.0004236055014488632,-0.008100275190606939,0.005057604269664862,-0.06549063897168905,0.008260110131793365,-0.1063389371114614,0.0015090679859310746,3.37,0.7000000000000001,0.0022202647946172587,-0.0012089778150796704,0.10994688046252553,5.087851196550743
-0.006004720024414529,0.0017557763128239617,4.9431930319847845,0.003537938385682941,0.03822571237744791,0.0005503218225900312,-0.006851890911106141,0.006655082638896623,-0.059499954451241274,0.008453816251322068,-0.12731707870564613,0.0017617790510488407,2.78,0.8,0.002551340865265827,-0.0015790535834998565,0.1256504772166874,5.100361714851215
-0.006812371488473229,0.0025323927036614946,4.937592425632216,0.004367271634825721,0.025088615315943936,0.0006843224786167924,-0.0057761629291194485,0.008434833203336918,-0.05307190067130538,0.008160037661164821,-0.13347933534756873,0.0019573286052597364,2.12,0.9,0.0028870793052796066,-0.0019984617487169842,0.14135283385136627,5.112856384873481
-0.007435613761740114,0.003496917877613946,4.93264368615348,0.005143368341692782,0.01197783424201104,0.0008227403962734268,-0.0048826220015777515,0.010384199879343473,-0.04625042824892285,0.007415273722382517,-0.1271369001861522,0.002058639198430188,1.46,1.0,0.0032361902226927834,-0.002467198171341778,0.15705379539064146,5.125333233564304
-0.007912152488145743,0.004664092190684198,4.928388669520211,0.005823666544242047,-6.691803248512837e-06,0.0009627062709392859,-0.0041619594889323016,0.01249040099907791,-0.03907335635994163,0.006264438643160469,-0.11133436465233819,0.0020560009091649414,0.86,1.1,0.0036052338331689013,-0.00298525822513529,0.17275320687236137,5.137790290684638
-0.008282041849447504,0.0060473119147885866,4.924864676523737,0.006370457502989767,-0.01007686158172831,0.001102383870567045,-0.0036011121346291495,0.014740539168023174,-0.031574925892516904,0.00475562218193963,-0.08919339317069953,0.0019668152938904283,0.39,1.2000000000000002,0.003998395996357033,-0.0035526367970541983,0.18845091334967273,5.150225589120757
-0.008583479515763163,0.007658780799361116,4.922104466959703,0.006750892980551636,-0.01774414312359716,0.0012419117169480268,-0.003187215904840584,0.01712162824549291,-0.023787569784120777,0.0029362684641832744,-0.06356677420516667,0.0018313988336480034,0.18,1.3,0.00441768324366336,-0.004169328287299656,0.20414675989255,5.162637165194884
-0.008849717668670438,0.009509673753618983,4.920134545253253,0.006939215328736342,-0.02278360448316219,0.0013841785489422105,-0.0029062300673173215,0.019620680235997407,-0.015782407019450034,0.0009018601864571387,-0.036884085745316667,0.0017056661862993989,0.29,1.4000000000000001,0.004863401530412027,-0.0048353266093768,0.2198405915893245,5.175023058975276
-0.009106753693638303,0.01161033283199294,4.918969060593134,0.0069249931833677385,-0.02518909835564152,0.0015351980153922784,-0.002740640837499675,0.022224847134622482,-0.007720326672289961,-0.0011325387358479828,-0.011109058139569153,0.0016500625450002883,0.35,1.5,0.005334898439741322,-0.005550625190149816,0.23553225354821328,5.187381314585725
-0.009371991600238392,0.013970390298827986,4.918608385288904,0.006713583972845734,-0.025129138589582507,0.0017038901331984536,-0.0026675094386637115,0.024921436546155126,0.0002914107338076948,-0.003060764444636283,0.012193859170383051,0.0017173351598202163,0.31,1.6,0.005831158720581714,-0.006315216969912996,0.25122159089884777,5.199709980514407
