x,y,z,phi,theta,psi,u,v,w,p,q,r,angle2,time,yaw_ref,x_ref,y_ref,z_ref
0.0003211235048467921,1.1515562286697803e-20,4.995961128830321,1.1223301234081665e-20,0.013847787705035574,2.458118689334504e-19,0.0070575691383335,2.2803966401204363e-19,-0.08029109449761784,1.918742143552859e-19,0.26684339736857143,4.8935465981947344e-18,0.82,0.1,0.00022352047192769552,-9.16708615292805e-05,0.014137034572148304,5.017951716961996
0.000553151798450923,1.1194667375128588e-05,4.987686457309865,5.310484496478083e-05,0.03735918229471494,8.417036041910522e-06,0.0020036110088387,0.00022013726263516651,-0.0850292007642566,0.0010610620372757057,0.20339518001409335,0.00015966062267703716,2.24,0.2,0.0005877081015681455,-0.0003666757348508298,0.028273274951920783,5.035901987596194
7.94633830444787e-05,5.682129303421493e-05,4.979318945968527,0.0002382565106181103,0.05353647855267994,4.08763713123576e-05,-0.003690909754773404,0.0006688016702687988,-0.08262301625798783,0.0026315895700254025,0.1209896159579347,0.00044850661102915045,3.24,0.30000000000000004,0.000906854875376184,-0.0008249914869367103,0.04240792705523263,5.053849365691326
-0.0009587419766265979,0.00016037977214956251,4.971301224647695,0.0005841099293888984,0.061905964906419385,0.00010426017992878617,-0.007648007987023538,0.0013372807504593819,-0.07870251477694185,0.0042529943619067055,0.04685682734660485,0.0007567261124572578,3.8,0.4,0.0012222146364879267,-0.0014665795653012736,0.056540197014567736,5.071792405269164
-0.0023240722899589734,0.00034421106562761,4.963750042578178,0.0010811016931677139,0.06330245371266895,0.0001940668821671932,-0.010050429917832632,0.0022149521305911374,-0.07377507787734486,0.005636371006345263,-0.018582623733217563,0.0010223198308856624,3.96,0.5,0.001549131575244403,-0.002291386001864737,0.07066929128722992,5.08972966070103
-0.0037354515289433963,0.0006291793368431476,4.9567441434847375,0.0016960406183489408,0.05880259281105869,0.0003011653107995633,-0.009525671993472467,0.003291788840936153,-0.0678555506416818,0.006610907271895174,-0.07020127954686788,0.0012480355949316103,3.79,0.6000000000000001,0.001884199731496645,-0.0032993414183426495,0.08479441676355408,5.107659686824256
-0.004976678914657308,0.0010345031023010146,4.950354581829622,0.00238319909158957,0.049853051464419575,0.0004200077405528157,-0.00831408565202358,0.004556135876772253,-0.06116008017526536,0.007093660279489707,-0.10686383819966931,0.0014955115188066844,3.36,0.7000000000000001,0.0022168709853522288,-0.004490361033177237,0.09891478087506428,5.125581039058627
-0.006003270697376225,0.0015776539099124217,4.94465022569984,0.003091854780409509,0.038003850791635665,0.0005485722450612982,-0.007203494488791265,0.005996464993193267,-0.05379835441735636,0.007061048371275872,-0.12799086412651423,0.0017258258266631661,2.77,0.8,0.0025445782363293,-0.0058643446700124,0.11302959170256556,5.143492273522758
-0.00683223914841644,0.0022744710431117955,4.939697181102068,0.0037707509473803554,0.024794095097960482,0.0006836747428479061,-0.006284873992580104,0.007601419399594581,-0.045831537568422086,0.006522858766632114,-0.13424604310852473,0.0018845466452731467,2.09,0.9,0.0028749261161841247,-0.007421176767701709,0.1271380580841557,5.161391947150435
-0.007498842118332354,0.0031393265023811675,4.935557495328969,0.004370748376341865,0.011604204039638109,0.0008209954717609192,-0.0055655345836106394,0.009359456341347338,-0.037309236721278664,0.005506493534375907,-0.1279440012357962,0.00193846015276066,1.43,1.0,0.003216075088865533,-0.009160726391858276,0.14123938972314432,5.179278617806867
-0.008046180141379181,0.004185299224358809,4.932288366749458,0.004846219225703397,-0.0004616644453709772,0.0009562196472812694,-0.0050356807395057004,0.01125879983847486,-0.02827494706686429,0.0040484485937662025,-0.112150584332226,0.0018819723609272549,0.82,1.1,0.003574042889847938,-0.011082847247941174,0.1553327972958655,5.197150844404887
