x,y,z,phi,theta,psi,u,v,w,p,q,r,angle2,time,yaw_ref,x_ref,y_ref,z_ref
0.0003211235048467921,1.1515562286697803e-20,4.995961128830321,1.1223301234081665e-20,0.013847787705035574,2.458118689334504e-19,0.0070575691383335,2.2803966401204363e-19,-0.08029109449761784,1.918742143552859e-19,0.26684339736857143,4.8935465981947344e-18,0.82,0.1,0.00022352047192769552,5.326450000000001e-05,0.0,5.0
0.0005547880819533204,-2.9483965966755185e-08,4.987650985646569,-1.0926321142086412e-07,0.037368045840761116,5.1824267825995525e-06,0.0020578050649475103,-5.834802010328492e-07,-0.0857318572585828,-5.2965836992770176e-06,0.20356333688940242,0.00010318541842964907,2.24,0.2,0.0005869499051731359,0.00021291600000000006,0.0,5.0
8.320003903261867e-05,-1.7489620396091168e-07,4.979141329959266,-3.120025939565601e-07,0.05357734459423863,2.7796892262375902e-05,-0.0035649582546634084,-2.1166159127457163e-06,-0.08474773148021349,-2.025962561173339e-05,0.1214541112464444,0.00034761963919303907,3.24,0.30000000000000004,0.0009022922517864189,0.00047874150000000015,0.0,5.0
-0.0009537780515159833,-5.278898245257105e-07,4.970804968971793,-2.1183710850981586e-07,0.062016389306826486,7.851102527989814e-05,-0.0073635418193515765,-3.788041262794443e-06,-0.08292346341901966,-3.730831910561613e-05,0.04778074231841701,0.0006636027248272031,3.8,0.4,0.0012080417091535458,0.0008505280000000002,0.0,5.0
-0.0023181295601525436,-1.1434930942830959e-06,4.962692921369711,5.869565160234327e-07,0.06353161268710573,0.00016235558455891921,-0.00958009516810249,-5.2830999574040915e-06,-0.08072952503944723,-5.2726160910629334e-05,-0.017132545149852102,0.001008427812402283,3.97,0.5,0.0015170256496563049,0.0013280625,0.0,5.0
-0.00374363416770387,-1.9869711919361688e-06,4.954822220451794,2.2307360020679003e-06,0.05915892307523417,0.0002809303164169564,-0.00916950735376448,-5.569026706764056e-06,-0.07815824692162239,-6.0298208112823427e-05,-0.06911723229490106,0.001357158241655343,3.81,0.6000000000000001,0.0018238718065830698,0.0019111320000000007,0.0,5.0
-0.005005370681735965,-2.9447417749475796e-06,4.947205536863564,4.408038113871554e-06,0.05033562395051409,0.00043357498053016964,-0.0076826025499409836,-5.2059668736789e-06,-0.07535401230557381,-6.333256209775595e-05,-0.10546176634321194,0.0016902468455875172,3.39,0.7000000000000001,0.0021164451583300177,0.0025995235000000005,0.0,5.0
-0.006027652552679359,-3.939573459865238e-06,4.939856680697915,6.322593447442289e-06,0.03864025413719006,0.0006177186286942318,-0.006228487579220435,-4.8728480842759656e-06,-0.07241401662638396,-6.196992118967844e-05,-0.12636215685833127,0.0019888920299397815,2.81,0.8,0.0023908713202335083,0.003393024000000001,0.0,5.0
-0.0068109210150392565,-4.927759920921642e-06,4.932790255697857,7.2388390333911425e-06,0.02559744673081659,0.0008292005708696512,-0.004933179318301,-4.652575768335955e-06,-0.06937132863653893,-5.51120357496518e-05,-0.13257846255046002,0.002239205632665468,2.16,0.9,0.002653572004119349,0.0042914205,0.0,5.0
-0.00737480042574046,-5.8688218841318735e-06,4.926020137186026,6.758659766707787e-06,0.012569279881660466,0.001062984268592744,-0.00381280279417004,-4.569209504457046e-06,-0.06624709303265312,-4.3159036932521756e-05,-0.12641210070711792,0.002436547753489636,1.51,1.0,0.002911556174092871,0.005294500000000001,0.0,5.0
-0.007748263009519365,-6.730232564054924e-06,4.919558456980756,4.848298660205475e-06,0.0006452585078885946,0.0013139694749133815,-0.002860528566228021,-4.634798146842242e-06,-0.06305705257170308,-2.7593781661132923e-05,-0.11087220184114566,0.002583759036266952,0.92,1.1,0.0031697623870862494,0.006402049500000001,0.0,5.0
-0.007964716411892963,-7.493311827545902e-06,4.913415019957493,1.7665103237366904e-06,-0.009392578216080135,0.0015775479251348935,-0.002062394828417941,-4.855217324312578e-06,-0.05981409652771274,-1.033904824234647e-05,-0.08902933374348491,0.002687940352230689,0.45,1.2000000000000002,0.0034308137337518696,0.007613856000000003,0.0,5.0
-0.008058447232633513,-8.156199634284736e-06,4.907597131320373,-2.0490630576423226e-06,-0.01705620047341574,0.001849871912349754,-0.0014017612623186961,-5.232488402362418e-06,-0.05652992039349452,6.706566385725351e-06,-0.06367615225156328,0.0027577092076906313,0.14,1.3,0.003695390010038009,0.008929706500000002,0.0,5.0
-0.008061876518153347,-8.733383126999582e-06,4.902109723175477,-6.095792733095535e-06,-0.022114942399159246,0.002127908636633389,-0.000858953437778068,-5.766647002605329e-06,-0.05321600043197404,2.1917813977227747e-05,-0.037177436202821025,0.002801330424934186,0.15,1.4000000000000001,0.003962716676767047,0.010349388000000003,0.0,5.0
-0.008027755232114556,-9.323556966948287e-06,4.896955850335181,-9.968263319439238e-06,-0.02458705187418752,0.002409358318151012,-0.0008961959146912656,-6.751245774530301e-06,-0.04986833687659375,3.268435247471031e-05,-0.012143262117225549,0.002825602892086567,0.19,1.5,0.004230851503100758,0.011872687500000001,0.0,5.0
-0.008072158739096084,-1.0286890303797148e-05,4.892138128838362,-1.3444230663600008e-05,-0.02479858336311326,0.0026925083717577116,-0.002383506651006968,-9.02100028806847e-06,-0.04645359462862089,3.8086160490421226e-05,0.007875370561926257,0.0028355569689541404,0.13,1.6,0.004497048248662424,0.013499392000000004,0.0,5.0
-0.008254508914024131,-1.1877298998484837e-05,4.887657548683666,-1.6248543474887493e-05,-0.023093738435017667,0.0029760476138132627,-0.0034125865537272234,-1.1040506132061915e-05,-0.043063637244647734,4.207664747065979e-05,0.025871879763444208,0.0028340979867249234,0.15,1.7000000000000002,0.004758966284695909,0.015229288500000004,0.0,5.0
-0.00850210639635962,-1.388866983674676e-05,4.8835118980347305,-1.799245118437625e-05,-0.01969152266738764,0.003258883406992574,-0.0033113129872325807,-1.2314274055557774e-05,-0.03974171290561197,4.455063532384532e-05,0.041532062382170574,0.002822534211567221,0.41,1.8,0.005015383945201062,0.017062164,0.0,5.0
-0.008743999042148306,-1.606774840547965e-05,4.879697303474864,-1.8493888792748862e-05,-0.014993426156462101,0.0035400402772649735,-0.002840635698771685,-1.3434193548247708e-05,-0.03647091873929413,4.33618388964865e-05,0.05163901214742476,0.002801567970574979,0.75,1.9000000000000001,0.0052659667088305615,0.018997805500000003,0.0,5.0
-0.008963757566002638,-1.8349623163503943e-05,4.87620947665425,-1.783937279307516e-05,-0.009623462277093674,0.003818637297953129,-0.002398021464481321,-1.4767723206991551e-05,-0.033241716422065845,3.859692833583203e-05,0.054962282751989375,0.0027720410208895256,1.14,2.0,0.005510892984049334,0.021036000000000003,0.0,5.0
-0.009163021439047455,-2.0748038897898745e-05,4.87304366646764,-1.62588146051501e-05,-0.004233256680357961,0.004093898259492252,-0.0020079447557826654,-1.635547685786537e-05,-0.030060235599831515,3.1302909790865806e-05,0.0521305856039493,0.0027350597846490855,1.53,2.1,0.005750266476269078,0.023176534500000002,0.0,5.0
-0.009342832331863744,-2.3280282586373332e-05,4.870194357442812,-1.4054511973820016e-05,0.0006223768176530416,0.004365159229812617,-0.0016731310516990732,-1.8215428730749074e-05,-0.026933629679191738,2.259870763703663e-05,0.04440829018364793,0.002691827230705502,1.88,2.2,0.005984031434292201,0.025419196000000005,0.0,5.0
-0.009502816595242073,-2.596106611641507e-05,4.867655270874026,-1.1554404327189334e-05,0.004531218496431865,0.0046318657035570995,-0.0013798662598829858,-2.0356005182364123e-05,-0.023869807729094993,1.357626915697072e-05,0.03335132652606469,0.0026435125063920405,2.18,2.3000000000000003,0.006212104669772027,0.027763771500000006,0.0,5.0
